X,Y,id,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
121.657330148637,30.0449667895274,,"36",,,,,,-1,0,-1,,
121.65099416286,30.053477212238,,"37",,,,,,-1,0,-1,,
121.64728841105,30.0573809315984,,"38",,,,,,-1,0,-1,,
121.642979025901,30.055105484778,,"39",,,,,,-1,0,-1,,
121.638198609597,30.0517521965542,,"40",,,,,,-1,0,-1,,
121.638495427989,30.047836751815,,"41",,,,,,-1,0,-1,,
121.644450670581,30.0411176169489,,"42",,,,,,-1,0,-1,,
121.650420932614,30.0342306166947,,平台4,,,,,,-1,0,-1,,
121.650375076552,30.0289891319071,,"44",,,,,,-1,0,-1,,
121.640319184304,30.0155519011396,,"46",,,,,,-1,0,-1,,
121.638178798912,30.012573252636,,"47",,,,,,-1,0,-1,,
121.635593758398,30.010915214516,,"48",,,,,,-1,0,-1,,
121.633452406022,30.0071115426945,,"49",,,,,,-1,0,-1,,
121.63933889218,29.9996488363888,,"50",,,,,,-1,0,-1,,
121.644904176484,29.9923130566021,,"51",,,,,,-1,0,-1,,
121.647932877253,29.9884283341429,,"52",,,,,,-1,0,-1,,
121.651381376498,29.9904767637147,,"53",,,,,,-1,0,-1,,
121.655234513114,29.9928122245133,,"54",,,,,,-1,0,-1,,
121.658432174207,29.9966587003723,,"55",,,,,,-1,0,-1,,
121.656117086075,29.9995245388738,,"56",,,,,,-1,0,-1,,
121.649266837761,29.9945452707584,,"57",,,,,,-1,0,-1,,
121.646341514935,29.9979189354772,,"58",,,,,,-1,0,-1,,
121.652535020346,30.0021782607155,,"59",,,,,,-1,0,-1,,
121.647061218146,30.0037736111034,,"60",,,,,,-1,0,-1,,
121.6434437352,30.0019476010926,,危险源5,,,,,,-1,0,-1,,
121.63850722804,30.0075501595373,,"62",,,,,,-1,0,-1,,
121.642287757307,30.0102350296173,,"63",,,,,,-1,0,-1,,
121.646904696312,30.0072984396849,,"64",,,,,,-1,0,-1,,
121.670236985806,29.9878238682232,,平台3绿色三角形,,,,,,-1,0,-1,,
121.686878349325,29.9879555778538,,"89",,,,,,-1,0,-1,,
